Time,PFT,PFM,PCC,MFT
73.88000000000102,67.1741,-4.69099,-1.66976,15.9626
73.97300000000178,67.4323,-4.68647,-1.55281,15.9612
74.02200000000084,67.5881,-4.68195,-1.51588,15.9568
74.0689999999995,67.6771,-4.65486,-1.44202,15.9742
74.11799999999857,67.8062,-4.63229,-1.46664,15.9822
74.16500000000087,67.9664,-4.59616,-1.32508,15.9822
74.21399999999994,68.1444,-4.60068,-1.38663,15.9909
74.26299999999901,68.2246,-4.59165,-1.33739,15.9873
74.31299999999828,68.1845,-4.56907,-1.43587,16.0004
74.3640000000014,68.0243,-4.54649,-1.37432,15.9996
74.41300000000047,68.0599,-4.5194,-1.31277,16.0163
74.46299999999974,68.1979,-4.49682,-1.18966,16.0004
74.51299999999901,68.3803,-4.47876,-1.15889,15.9996
74.56299999999828,68.5094,-4.45619,-1.06656,15.9996
74.6130000000012,68.6207,-4.45619,-0.998857,15.9996
74.66300000000047,68.7498,-4.43361,-0.968082,16.0054
74.71399999999994,68.9545,-4.42458,-0.863446,16.0054
74.77100000000064,69.0435,-4.41555,-0.906531,16.0112
74.81299999999828,69.1904,-4.402,-0.801895,16.0192
74.8630000000012,69.3952,-4.39297,-0.80805,16.0156
74.92699999999968,69.6311,-4.38846,-0.789585,16.0156
74.96299999999974,69.8536,-4.38846,-0.777275,16.0149
75.04100000000108,70.1296,-4.41103,-0.851136,16.0141
75.06399999999849,70.2142,-4.402,-0.875756,16.0127
75.1130000000012,70.3566,-4.402,-0.801895,16.0134
75.17299999999886,70.4812,-4.42458,-0.80805,16.0004
75.21299999999974,70.5836,-4.41555,-0.82036,15.9887
75.26399999999921,70.6192,-4.42458,-0.789585,15.9974
75.31299999999828,70.7171,-4.42909,-0.721879,15.9945
75.37900000000081,70.637,-4.44264,-0.801895,16.0004
75.45699999999852,70.637,-4.4607,-0.801895,15.9974
75.46299999999974,70.6459,-4.46522,-0.79574,15.996
75.51299999999901,70.6771,-4.46522,-0.826515,15.9982
75.56299999999828,70.8195,-4.47876,-0.79574,15.9989
